brand,Country,Date,ParsedDate,interest,Geo
DemoBrand,United States,2024-05-12,2024-05-12,27.66,US
DemoBrand,United States,2024-05-13,2024-05-13,28.68,US
DemoBrand,United States,2024-05-14,2024-05-14,31.4,US
DemoBrand,United States,2024-05-15,2024-05-15,32.48,US
DemoBrand,United States,2024-05-16,2024-05-16,34.77,US
DemoBrand,United States,2024-05-17,2024-05-17,36.54,US
DemoBrand,United States,2024-05-18,2024-05-18,31.44,US
DemoBrand,United States,2024-05-19,2024-05-19,28.48,US
DemoBrand,United States,2024-05-20,2024-05-20,26.01,US
DemoBrand,United States,2024-05-21,2024-05-21,30.58,US
DemoBrand,United States,2024-05-22,2024-05-22,28.16,US
DemoBrand,United States,2024-05-23,2024-05-23,28.66,US
DemoBrand,United States,2024-05-24,2024-05-24,27.94,US
DemoBrand,United States,2024-05-25,2024-05-25,33.77,US
DemoBrand,United States,2024-05-26,2024-05-26,35.08,US
DemoBrand,United States,2024-05-27,2024-05-27,33.63,US
DemoBrand,United States,2024-05-28,2024-05-28,31.1,US
DemoBrand,United States,2024-05-29,2024-05-29,29.86,US
DemoBrand,United States,2024-05-30,2024-05-30,28.46,US
DemoBrand,United States,2024-05-31,2024-05-31,30.28,US
DemoBrand,United States,2024-06-01,2024-06-01,31.38,US
DemoBrand,United States,2024-06-02,2024-06-02,34.3,US
DemoBrand,United States,2024-06-03,2024-06-03,30.87,US
DemoBrand,United States,2024-06-04,2024-06-04,31.2,US
DemoBrand,United States,2024-06-05,2024-06-05,29.06,US
DemoBrand,United States,2024-06-06,2024-06-06,27.9,US
DemoBrand,United States,2024-06-07,2024-06-07,26.13,US
DemoBrand,United States,2024-06-08,2024-06-08,26.41,US
DemoBrand,United States,2024-06-09,2024-06-09,33.53,US
DemoBrand,United States,2024-06-10,2024-06-10,26.32,US
DemoBrand,United States,2024-06-11,2024-06-11,30.66,US
DemoBrand,United States,2024-06-12,2024-06-12,25.71,US
DemoBrand,United States,2024-06-13,2024-06-13,30.72,US
DemoBrand,United States,2024-06-14,2024-06-14,28.63,US
DemoBrand,United States,2024-06-15,2024-06-15,27.66,US
DemoBrand,United States,2024-06-16,2024-06-16,28.92,US
DemoBrand,United States,2024-06-17,2024-06-17,26.38,US
DemoBrand,United States,2024-06-18,2024-06-18,28.31,US
DemoBrand,United States,2024-06-19,2024-06-19,27.06,US
DemoBrand,United States,2024-06-20,2024-06-20,26.41,US
DemoBrand,United States,2024-06-21,2024-06-21,25.09,US
DemoBrand,United States,2024-06-22,2024-06-22,29.91,US
DemoBrand,United States,2024-06-23,2024-06-23,32.18,US
DemoBrand,United States,2024-06-24,2024-06-24,30.94,US
DemoBrand,United States,2024-06-25,2024-06-25,28.14,US
DemoBrand,United States,2024-06-26,2024-06-26,30.53,US
DemoBrand,United States,2024-06-27,2024-06-27,32.31,US
DemoBrand,United States,2024-06-28,2024-06-28,31.19,US
DemoBrand,United States,2024-06-29,2024-06-29,31.14,US
DemoBrand,United States,2024-06-30,2024-06-30,34.28,US
DemoBrand,United States,2024-07-01,2024-07-01,33.28,US
DemoBrand,United States,2024-07-02,2024-07-02,35.97,US
DemoBrand,United States,2024-07-03,2024-07-03,33.93,US
DemoBrand,United States,2024-07-04,2024-07-04,30.59,US
DemoBrand,United States,2024-07-05,2024-07-05,31.92,US
DemoBrand,United States,2024-07-06,2024-07-06,38.26,US
DemoBrand,United States,2024-07-07,2024-07-07,38.49,US
DemoBrand,United States,2024-07-08,2024-07-08,35.08,US
DemoBrand,United States,2024-07-09,2024-07-09,34.71,US
DemoBrand,United States,2024-07-10,2024-07-10,39.87,US
DemoBrand,United States,2024-07-11,2024-07-11,33.32,US
DemoBrand,United States,2024-07-12,2024-07-12,33.69,US
DemoBrand,United States,2024-07-13,2024-07-13,36.51,US
DemoBrand,United States,2024-07-14,2024-07-14,34.25,US
DemoBrand,United States,2024-07-15,2024-07-15,34.85,US
DemoBrand,United States,2024-07-16,2024-07-16,34.73,US
DemoBrand,United States,2024-07-17,2024-07-17,36.23,US
DemoBrand,United States,2024-07-18,2024-07-18,38.52,US
DemoBrand,United States,2024-07-19,2024-07-19,35.49,US
DemoBrand,United States,2024-07-20,2024-07-20,35.77,US
DemoBrand,United States,2024-07-21,2024-07-21,31.35,US
DemoBrand,United States,2024-07-22,2024-07-22,34.94,US
DemoBrand,United States,2024-07-23,2024-07-23,32.36,US
DemoBrand,United States,2024-07-24,2024-07-24,30.9,US
DemoBrand,United States,2024-07-25,2024-07-25,32.09,US
DemoBrand,United States,2024-07-26,2024-07-26,32.52,US
DemoBrand,United States,2024-07-27,2024-07-27,33.41,US
DemoBrand,United States,2024-07-28,2024-07-28,29.54,US
DemoBrand,United States,2024-07-29,2024-07-29,32.08,US
DemoBrand,United States,2024-07-30,2024-07-30,29.77,US
DemoBrand,United States,2024-07-31,2024-07-31,30.48,US
DemoBrand,United States,2024-08-01,2024-08-01,31.52,US
DemoBrand,United States,2024-08-02,2024-08-02,32.26,US
DemoBrand,United States,2024-08-03,2024-08-03,33.42,US
DemoBrand,United States,2024-08-04,2024-08-04,28.98,US
DemoBrand,United States,2024-08-05,2024-08-05,28.03,US
DemoBrand,United States,2024-08-06,2024-08-06,26.64,US
DemoBrand,United States,2024-08-07,2024-08-07,28.23,US
DemoBrand,United States,2024-08-08,2024-08-08,28.51,US
DemoBrand,United States,2024-08-09,2024-08-09,25.22,US
DemoBrand,United States,2024-08-10,2024-08-10,28.74,US
DemoBrand,United States,2024-08-11,2024-08-11,29.86,US
DemoBrand,United States,2024-08-12,2024-08-12,32.03,US
DemoBrand,United States,2024-08-13,2024-08-13,30.98,US
DemoBrand,United States,2024-08-14,2024-08-14,26.33,US
DemoBrand,United States,2024-08-15,2024-08-15,28.55,US
DemoBrand,United States,2024-08-16,2024-08-16,24.21,US
DemoBrand,United States,2024-08-17,2024-08-17,22.1,US
DemoBrand,United States,2024-08-18,2024-08-18,24.1,US
DemoBrand,United States,2024-08-19,2024-08-19,26.11,US
DemoBrand,United States,2024-08-20,2024-08-20,22.51,US
DemoBrand,United States,2024-08-21,2024-08-21,22.95,US
DemoBrand,United States,2024-08-22,2024-08-22,20.29,US
DemoBrand,United States,2024-08-23,2024-08-23,24.61,US
DemoBrand,United States,2024-08-24,2024-08-24,23.19,US
DemoBrand,United States,2024-08-25,2024-08-25,24.65,US
DemoBrand,United States,2024-08-26,2024-08-26,24.36,US
DemoBrand,United States,2024-08-27,2024-08-27,26.34,US
DemoBrand,United States,2024-08-28,2024-08-28,23.43,US
DemoBrand,United States,2024-08-29,2024-08-29,24.43,US
DemoBrand,United States,2024-08-30,2024-08-30,32.04,US
DemoBrand,United States,2024-08-31,2024-08-31,25.61,US
DemoBrand,United States,2024-09-01,2024-09-01,26.39,US
DemoBrand,United States,2024-09-02,2024-09-02,32.63,US
DemoBrand,United States,2024-09-03,2024-09-03,35.12,US
DemoBrand,United States,2024-09-04,2024-09-04,27.29,US
DemoBrand,United States,2024-09-05,2024-09-05,29.19,US
DemoBrand,United States,2024-09-06,2024-09-06,30.88,US
DemoBrand,United States,2024-09-07,2024-09-07,33.88,US
DemoBrand,United States,2024-09-08,2024-09-08,28.64,US
DemoBrand,United States,2024-09-09,2024-09-09,30.28,US
DemoBrand,United States,2024-09-10,2024-09-10,32.43,US
DemoBrand,United States,2024-09-11,2024-09-11,31.81,US
DemoBrand,United States,2024-09-12,2024-09-12,30.22,US
DemoBrand,United States,2024-09-13,2024-09-13,30.68,US
DemoBrand,United States,2024-09-14,2024-09-14,28.13,US
DemoBrand,United States,2024-09-15,2024-09-15,30.3,US
DemoBrand,United States,2024-09-16,2024-09-16,30.1,US
DemoBrand,United States,2024-09-17,2024-09-17,30.9,US
DemoBrand,United States,2024-09-18,2024-09-18,29.1,US
DemoBrand,United States,2024-09-19,2024-09-19,30.89,US
DemoBrand,United States,2024-09-20,2024-09-20,31.68,US
DemoBrand,United States,2024-09-21,2024-09-21,29.64,US
DemoBrand,United States,2024-09-22,2024-09-22,29.69,US
DemoBrand,United States,2024-09-23,2024-09-23,28.72,US
DemoBrand,United States,2024-09-24,2024-09-24,28.22,US
DemoBrand,United States,2024-09-25,2024-09-25,26.38,US
DemoBrand,United States,2024-09-26,2024-09-26,28.04,US
DemoBrand,United States,2024-09-27,2024-09-27,26.79,US
DemoBrand,United States,2024-09-28,2024-09-28,30.76,US
DemoBrand,United States,2024-09-29,2024-09-29,29.31,US
DemoBrand,United States,2024-09-30,2024-09-30,26.53,US
DemoBrand,United States,2024-10-01,2024-10-01,23.84,US
DemoBrand,United States,2024-10-02,2024-10-02,22.77,US
DemoBrand,United States,2024-10-03,2024-10-03,27.03,US
DemoBrand,United States,2024-10-04,2024-10-04,24.85,US
DemoBrand,United States,2024-10-05,2024-10-05,24.99,US
DemoBrand,United States,2024-10-06,2024-10-06,20.28,US
DemoBrand,United States,2024-10-07,2024-10-07,25.39,US
DemoBrand,United States,2024-10-08,2024-10-08,24.26,US
DemoBrand,United States,2024-10-09,2024-10-09,20.98,US
DemoBrand,United States,2024-10-10,2024-10-10,22.15,US
DemoBrand,United States,2024-10-11,2024-10-11,23.56,US
DemoBrand,United States,2024-10-12,2024-10-12,23.12,US
DemoBrand,United States,2024-10-13,2024-10-13,22.45,US
DemoBrand,United States,2024-10-14,2024-10-14,22.89,US
DemoBrand,United States,2024-10-15,2024-10-15,22.71,US
DemoBrand,United States,2024-10-16,2024-10-16,23.67,US
DemoBrand,United States,2024-10-17,2024-10-17,26.5,US
DemoBrand,United States,2024-10-18,2024-10-18,18.65,US
DemoBrand,United States,2024-10-19,2024-10-19,23.57,US
DemoBrand,United States,2024-10-20,2024-10-20,24.7,US
DemoBrand,United States,2024-10-21,2024-10-21,25.26,US
DemoBrand,United States,2024-10-22,2024-10-22,24.28,US
DemoBrand,United States,2024-10-23,2024-10-23,21.89,US
DemoBrand,United States,2024-10-24,2024-10-24,26.45,US
DemoBrand,United States,2024-10-25,2024-10-25,29.65,US
DemoBrand,United States,2024-10-26,2024-10-26,23.54,US
DemoBrand,United States,2024-10-27,2024-10-27,28.76,US
DemoBrand,United States,2024-10-28,2024-10-28,26.79,US
DemoBrand,United States,2024-10-29,2024-10-29,27.74,US
DemoBrand,United States,2024-10-30,2024-10-30,26.17,US
DemoBrand,United States,2024-10-31,2024-10-31,28.0,US
DemoBrand,United States,2024-11-01,2024-11-01,31.64,US
DemoBrand,United States,2024-11-02,2024-11-02,30.56,US
DemoBrand,United States,2024-11-03,2024-11-03,33.18,US
DemoBrand,United States,2024-11-04,2024-11-04,32.37,US
DemoBrand,United States,2024-11-05,2024-11-05,31.16,US
DemoBrand,United States,2024-11-06,2024-11-06,34.0,US
DemoBrand,United States,2024-11-07,2024-11-07,31.58,US
DemoBrand,United States,2024-11-08,2024-11-08,32.51,US
DemoBrand,United States,2024-11-09,2024-11-09,30.37,US
DemoBrand,United States,2024-11-10,2024-11-10,31.16,US
DemoBrand,United States,2024-11-11,2024-11-11,29.66,US
DemoBrand,United States,2024-11-12,2024-11-12,33.01,US
DemoBrand,United States,2024-11-13,2024-11-13,28.61,US
DemoBrand,United States,2024-11-14,2024-11-14,32.43,US
DemoBrand,United States,2024-11-15,2024-11-15,30.33,US
DemoBrand,United States,2024-11-16,2024-11-16,32.87,US
DemoBrand,United States,2024-11-17,2024-11-17,31.8,US
DemoBrand,United States,2024-11-18,2024-11-18,33.68,US
DemoBrand,United States,2024-11-19,2024-11-19,31.2,US
DemoBrand,United States,2024-11-20,2024-11-20,26.27,US
DemoBrand,United States,2024-11-21,2024-11-21,28.93,US
DemoBrand,United States,2024-11-22,2024-11-22,26.35,US
DemoBrand,United States,2024-11-23,2024-11-23,27.27,US
DemoBrand,United States,2024-11-24,2024-11-24,30.93,US
DemoBrand,United States,2024-11-25,2024-11-25,28.77,US
DemoBrand,United States,2024-11-26,2024-11-26,25.68,US
DemoBrand,United States,2024-11-27,2024-11-27,24.63,US
DemoBrand,United States,2024-11-28,2024-11-28,26.31,US
DemoBrand,United States,2024-11-29,2024-11-29,23.41,US
DemoBrand,United States,2024-11-30,2024-11-30,24.11,US
DemoBrand,United States,2024-12-01,2024-12-01,25.7,US
DemoBrand,United States,2024-12-02,2024-12-02,27.04,US
DemoBrand,United States,2024-12-03,2024-12-03,25.62,US
DemoBrand,United States,2024-12-04,2024-12-04,19.53,US
DemoBrand,United States,2024-12-05,2024-12-05,24.46,US
DemoBrand,United States,2024-12-06,2024-12-06,23.77,US
DemoBrand,United States,2024-12-07,2024-12-07,24.26,US
DemoBrand,United States,2024-12-08,2024-12-08,26.52,US
DemoBrand,United States,2024-12-09,2024-12-09,19.05,US
DemoBrand,United States,2024-12-10,2024-12-10,21.93,US
DemoBrand,United States,2024-12-11,2024-12-11,24.28,US
DemoBrand,United States,2024-12-12,2024-12-12,19.96,US
DemoBrand,United States,2024-12-13,2024-12-13,26.14,US
DemoBrand,United States,2024-12-14,2024-12-14,24.03,US
DemoBrand,United States,2024-12-15,2024-12-15,25.14,US
DemoBrand,United States,2024-12-16,2024-12-16,22.5,US
DemoBrand,United States,2024-12-17,2024-12-17,25.49,US
DemoBrand,United States,2024-12-18,2024-12-18,26.27,US
DemoBrand,United States,2024-12-19,2024-12-19,24.9,US
DemoBrand,United States,2024-12-20,2024-12-20,25.23,US
DemoBrand,United States,2024-12-21,2024-12-21,25.65,US
DemoBrand,United States,2024-12-22,2024-12-22,23.76,US
DemoBrand,United States,2024-12-23,2024-12-23,25.58,US
DemoBrand,United States,2024-12-24,2024-12-24,25.98,US
DemoBrand,United States,2024-12-25,2024-12-25,27.46,US
DemoBrand,United States,2024-12-26,2024-12-26,29.12,US
DemoBrand,United States,2024-12-27,2024-12-27,25.42,US
DemoBrand,United States,2024-12-28,2024-12-28,27.7,US
DemoBrand,United States,2024-12-29,2024-12-29,31.32,US
DemoBrand,United Kingdom,2024-01-01,2024-01-01,17.39,GB
DemoBrand,United Kingdom,2024-01-02,2024-01-02,19.06,GB
DemoBrand,United Kingdom,2024-01-03,2024-01-03,19.54,GB
DemoBrand,United Kingdom,2024-01-04,2024-01-04,15.11,GB
DemoBrand,United Kingdom,2024-01-05,2024-01-05,14.25,GB
DemoBrand,United Kingdom,2024-01-06,2024-01-06,21.14,GB
DemoBrand,United Kingdom,2024-01-07,2024-01-07,21.87,GB
DemoBrand,United Kingdom,2024-01-08,2024-01-08,17.79,GB
DemoBrand,United Kingdom,2024-01-09,2024-01-09,16.42,GB
DemoBrand,United Kingdom,2024-01-10,2024-01-10,20.62,GB
DemoBrand,United Kingdom,2024-01-11,2024-01-11,22.52,GB
DemoBrand,United Kingdom,2024-01-12,2024-01-12,24.45,GB
DemoBrand,United Kingdom,2024-01-13,2024-01-13,22.05,GB
DemoBrand,United Kingdom,2024-01-14,2024-01-14,20.4,GB
DemoBrand,United Kingdom,2024-01-15,2024-01-15,19.43,GB
DemoBrand,United Kingdom,2024-01-16,2024-01-16,21.28,GB
DemoBrand,United Kingdom,2024-01-17,2024-01-17,20.64,GB
DemoBrand,United Kingdom,2024-01-18,2024-01-18,19.16,GB
DemoBrand,United Kingdom,2024-01-19,2024-01-19,25.19,GB
DemoBrand,United Kingdom,2024-01-20,2024-01-20,24.53,GB
DemoBrand,United Kingdom,2024-01-21,2024-01-21,23.05,GB
DemoBrand,United Kingdom,2024-01-22,2024-01-22,18.72,GB
DemoBrand,United Kingdom,2024-01-23,2024-01-23,22.02,GB
DemoBrand,United Kingdom,2024-01-24,2024-01-24,21.3,GB
DemoBrand,United Kingdom,2024-01-25,2024-01-25,20.6,GB
DemoBrand,United Kingdom,2024-01-26,2024-01-26,21.87,GB
DemoBrand,United Kingdom,2024-01-27,2024-01-27,20.28,GB
DemoBrand,United Kingdom,2024-01-28,2024-01-28,20.11,GB
DemoBrand,United Kingdom,2024-01-29,2024-01-29,19.51,GB
DemoBrand,United Kingdom,2024-01-30,2024-01-30,18.52,GB
DemoBrand,United Kingdom,2024-01-31,2024-01-31,13.87,GB
DemoBrand,United Kingdom,2024-02-01,2024-02-01,17.19,GB
DemoBrand,United Kingdom,2024-02-02,2024-02-02,15.51,GB
DemoBrand,United Kingdom,2024-02-03,2024-02-03,13.67,GB
DemoBrand,United Kingdom,2024-02-04,2024-02-04,19.22,GB
DemoBrand,United Kingdom,2024-02-05,2024-02-05,18.95,GB
DemoBrand,United Kingdom,2024-02-06,2024-02-06,17.87,GB
DemoBrand,United Kingdom,2024-02-07,2024-02-07,15.35,GB
DemoBrand,United Kingdom,2024-02-08,2024-02-08,17.26,GB
DemoBrand,United Kingdom,2024-02-09,2024-02-09,14.33,GB
DemoBrand,United Kingdom,2024-02-10,2024-02-10,14.49,GB
DemoBrand,United Kingdom,2024-02-11,2024-02-11,11.72,GB
DemoBrand,United Kingdom,2024-02-12,2024-02-12,14.57,GB
DemoBrand,United Kingdom,2024-02-13,2024-02-13,13.8,GB
DemoBrand,United Kingdom,2024-02-14,2024-02-14,11.02,GB
DemoBrand,United Kingdom,2024-02-15,2024-02-15,13.51,GB
DemoBrand,United Kingdom,2024-02-16,2024-02-16,13.49,GB
DemoBrand,United Kingdom,2024-02-17,2024-02-17,17.32,GB
DemoBrand,United Kingdom,2024-02-18,2024-02-18,15.63,GB
DemoBrand,United Kingdom,2024-02-19,2024-02-19,14.03,GB
DemoBrand,United Kingdom,2024-02-20,2024-02-20,14.71,GB
DemoBrand,United Kingdom,2024-02-21,2024-02-21,14.54,GB
DemoBrand,United Kingdom,2024-02-22,2024-02-22,14.32,GB
DemoBrand,United Kingdom,2024-02-23,2024-02-23,12.87,GB
DemoBrand,United Kingdom,2024-02-24,2024-02-24,15.07,GB
DemoBrand,United Kingdom,2024-02-25,2024-02-25,14.24,GB
DemoBrand,United Kingdom,2024-02-26,2024-02-26,13.62,GB
DemoBrand,United Kingdom,2024-02-27,2024-02-27,17.54,GB
DemoBrand,United Kingdom,2024-02-28,2024-02-28,17.72,GB
DemoBrand,United Kingdom,2024-02-29,2024-02-29,13.79,GB
DemoBrand,United Kingdom,2024-03-01,2024-03-01,17.55,GB
DemoBrand,United Kingdom,2024-03-02,2024-03-02,20.21,GB
DemoBrand,United Kingdom,2024-03-03,2024-03-03,20.77,GB
DemoBrand,United Kingdom,2024-03-04,2024-03-04,21.12,GB
DemoBrand,United Kingdom,2024-03-05,2024-03-05,19.54,GB
DemoBrand,United Kingdom,2024-03-06,2024-03-06,18.16,GB
DemoBrand,United Kingdom,2024-03-07,2024-03-07,18.05,GB
DemoBrand,United Kingdom,2024-03-08,2024-03-08,21.24,GB
DemoBrand,United Kingdom,2024-03-09,2024-03-09,21.62,GB
DemoBrand,United Kingdom,2024-03-10,2024-03-10,23.71,GB
DemoBrand,United Kingdom,2024-03-11,2024-03-11,23.58,GB
DemoBrand,United Kingdom,2024-03-12,2024-03-12,21.31,GB
DemoBrand,United Kingdom,2024-03-13,2024-03-13,19.25,GB
DemoBrand,United Kingdom,2024-03-14,2024-03-14,21.22,GB
DemoBrand,United Kingdom,2024-03-15,2024-03-15,22.37,GB
DemoBrand,United Kingdom,2024-03-16,2024-03-16,21.57,GB
DemoBrand,United Kingdom,2024-03-17,2024-03-17,20.81,GB
DemoBrand,United Kingdom,2024-03-18,2024-03-18,22.41,GB
DemoBrand,United Kingdom,2024-03-19,2024-03-19,20.8,GB
DemoBrand,United Kingdom,2024-03-20,2024-03-20,20.42,GB
DemoBrand,United Kingdom,2024-03-21,2024-03-21,22.12,GB
DemoBrand,United Kingdom,2024-03-22,2024-03-22,20.48,GB
DemoBrand,United Kingdom,2024-03-23,2024-03-23,21.52,GB
DemoBrand,United Kingdom,2024-03-24,2024-03-24,21.29,GB
DemoBrand,United Kingdom,2024-03-25,2024-03-25,18.15,GB
DemoBrand,United Kingdom,2024-03-26,2024-03-26,19.13,GB
